,0,1
0,"[['bikini', 0.30109754], ['bathtub', 0.24787952], ['tub', 0.07236754], ['perfume', 0.044849604], ['web site', 0.040028412]]",hYX9D8nfSFU
1,"[['television', 0.49904096], ['web site', 0.43019894], ['monitor', 0.05687593], ['home theater', 0.0068223034], ['scoreboard', 0.0019071021]]",BMi2L18eprA
2,"[['screwdriver', 0.5334063], ['syringe', 0.051128853], ['power drill', 0.0412186], ['hand-held computer', 0.034484502], ['television', 0.031240718]]",fwRqhtwgMRw
3,"[['scale', 0.54414797], ['magnetic compass', 0.07555844], ['analog clock', 0.03588182], ['spotlight', 0.032562803], ['hook', 0.017806109]]",rN51MUSI3kI
4,"[['Windsor tie', 0.7389619], ['suit', 0.093305044], ['groom', 0.034088615], ['television', 0.0104305325], ['comic book', 0.009396292]]",5Epez-jCTic
5,"[['suit', 0.4515687], ['Windsor tie', 0.44041455], ['television', 0.020133864], ['comic book', 0.015004877], ['web site', 0.010798969]]",8EQAwrDwE6Y
6,"[['web site', 0.13518198], ['hair spray', 0.09400202], ['groom', 0.042402267], ['kimono', 0.041221276], ['lipstick', 0.039816245]]",thRCj1TCZWs
7,"[['stage', 0.81726384], ['theater curtain', 0.031409036], ['torch', 0.020869013], ['spotlight', 0.016509766], ['microphone', 0.013894159]]",AprlXwXJo4Q
8,"[['accordion', 0.19045478], ['academic gown', 0.068719424], ['microphone', 0.06778745], ['harp', 0.049842484], ['television', 0.04162625]]",Av5h1GDwmSU
9,"[['comic book', 0.40265554], ['book jacket', 0.15258841], ['barbershop', 0.013097733], ['Indian cobra', 0.0070531126], ['prison', 0.006455918]]",aUDPgNp5KB8
10,"[['chain', 0.808927], ['swing', 0.074901186], ['padlock', 0.016407939], ['prison', 0.0142681105], ['bow', 0.0041516377]]",VcLEEADb334
11,"[['basketball', 0.9944565], ['volleyball', 0.0003358982], ['scoreboard', 0.0001328394], ['book jacket', 6.401776e-05], ['web site', 5.719687e-05]]",i7gzWkjlII4
12,"[['hair spray', 0.9758982], ['carton', 0.0012446517], ['lotion', 0.0011610311], ['plunger', 0.0009391831], ['Band Aid', 0.0008737739]]",bxNmfTrEa-0
13,"[['wig', 0.49200815], ['hair spray', 0.105746664], ['Band Aid', 0.03254243], ['hair slide', 0.018563924], ['web site', 0.015099362]]",w4jK3D9-o3c
14,"[['cornet', 0.16905305], ['comic book', 0.0857268], ['trombone', 0.08271716], ['sax', 0.077706456], ['French horn', 0.06879344]]",Au5Zqy37tzY
15,"[['marimba', 0.26109204], ['racket', 0.04304114], ['stage', 0.04019607], ['freight car', 0.03295147], ['tobacco shop', 0.020189343]]",vfn-__0Rmrc
16,"[['eggnog', 0.10829111], ['ashcan', 0.06422635], ['ice cream', 0.0343233], ['radiator', 0.033075117], ['oil filter', 0.023754926]]",wmHUuRWkdUg
17,"[['book jacket', 0.31937888], ['web site', 0.20856252], ['jersey', 0.018647388], ['pick', 0.013405745], ['binder', 0.01174187]]",svZ45HnWDpc
18,"[['dough', 0.2927353], ['ice cream', 0.25087667], ['face powder', 0.19479959], ['eggnog', 0.11656689], ['honeycomb', 0.0107342005]]",nr_KYcGO3vw
19,"[['microphone', 0.42791465], ['dial telephone', 0.22513106], ['stage', 0.097297244], ['pay-phone', 0.07052917], ['sax', 0.009120623]]",AWFan7Ix_jQ
20,"[['television', 0.22888291], ['web site', 0.1884931], ['comic book', 0.1785848], ['scoreboard', 0.11851746], ['screen', 0.010223842]]",0mCqKPBSgYQ
21,"[['ping-pong ball', 0.22612503], ['desk', 0.10366866], ['television', 0.050053477], ['cash machine', 0.016237298], ['bakery', 0.015488942]]",vSCiyI-6Ru0
22,"[['football helmet', 0.97918624], ['crash helmet', 0.0012926429], ['go-kart', 0.00072536775], ['bobsled', 0.000672098], ['puck', 0.0006456035]]",LprsAUXJJHQ
23,"[['screen', 0.5446884], ['television', 0.14203599], ['monitor', 0.053242043], ['theater curtain', 0.050588526], ['home theater', 0.037329823]]",OX-BtaRKbF8
24,"[['television', 0.4664483], ['home theater', 0.20999964], ['bow tie', 0.15115614], ['monitor', 0.043084633], ['scoreboard', 0.03478088]]",8S_HPyrEcps
25,"[['web site', 0.22561654], ['television', 0.14679714], ['crutch', 0.08542444], ['bulletproof vest', 0.06194481], ['monitor', 0.041038778]]",6m8phuyOAVQ
