,0,1
0,"[['remote control', 0.76302606], ['switch', 0.16389176], ['cellular telephone', 0.010527453], ['iPod', 0.0064390823], ['hand-held computer', 0.005759076]]",4L43VVORo5c
1,"[['stage', 0.8166571], ['theater curtain', 0.05768691], ['projector', 0.029784799], ['cinema', 0.009894244], ['home theater', 0.009521397]]",pVvuvegAYlI
2,"[['television', 0.7692735], ['home theater', 0.10159926], ['monitor', 0.059396084], ['web site', 0.031714793], ['projector', 0.007582547]]",rgyPpsX2B0g
3,"[['bathing cap', 0.2815227], ['comic book', 0.118384935], ['web site', 0.037515853], ['barbershop', 0.033124186], ['tobacco shop', 0.029433891]]",aNpl8EsTR94
4,"[['comic book', 0.9815771], ['web site', 0.0006311518], ['television', 0.0005019382], ['maze', 0.0004075315], ['electric guitar', 0.00039484884]]",7Fpbkpsx3cM
5,"[['rule', 0.6555652], ['picket fence', 0.2266487], ['worm fence', 0.01787523], ['web site', 0.012131582], ['bannister', 0.010753221]]",HSezK15Ewdo
6,"[['television', 0.330584], ['triumphal arch', 0.09825154], ['palace', 0.08228898], ['monitor', 0.07829733], ['church', 0.057154175]]",za_7j4vSRyA
7,"[['racket', 0.9041236], ['jigsaw puzzle', 0.02474695], ['tennis ball', 0.009695017], ['basketball', 0.008018914], ['packet', 0.0037884342]]",xeCSGweXykQ
8,"[['neck brace', 0.21532665], ['academic gown', 0.19044736], ['stage', 0.07272201], ['cowboy boot', 0.056786574], ['television', 0.046539437]]",FDTKws5WxKw
9,"[['book jacket', 0.20413595], ['space shuttle', 0.103224844], ['traffic light', 0.080857225], ['comic book', 0.06143206], ['ski mask', 0.037576027]]",pIYFz05yrUY
10,"[['comic book', 0.75037897], ['television', 0.06380439], ['monitor', 0.013359936], ['screen', 0.010874741], ['desktop computer', 0.0067702406]]",p4HrpCPquk4
11,"[['neck brace', 0.3676614], ['television', 0.16440435], ['hair spray', 0.12152444], ['monitor', 0.048407234], ['groom', 0.039028436]]",wYeMe6_ISKc
12,"[['projectile', 0.2884037], ['missile', 0.13075753], ['cash machine', 0.080978125], ['warplane', 0.04147499], ['ambulance', 0.033017367]]",GKBI_bVFSfs
13,"[['thatch', 0.9850247], ['web site', 0.00047236943], ['seashore', 0.00025884982], ['barn', 0.00017644081], ['boathouse', 0.00014947326]]",_7985zBEM3o
14,"[['television', 0.25576368], ['bassinet', 0.21460101], ['cradle', 0.2045878], ['crib', 0.029481793], ['home theater', 0.013365129]]",l3vbvF8bQfI
15,"[['web site', 0.12750661], ['comic book', 0.10907279], ['hand blower', 0.06431565], ['abaya', 0.027062535], ['television', 0.023869572]]",YR5qurEje5Y
16,"[['ballplayer', 0.25625578], ['web site', 0.06590727], ['television', 0.05130052], ['bathing cap', 0.04860467], ['bulletproof vest', 0.036077797]]",_zhR6d6LDzM
17,"[['digital clock', 0.16604313], ['bulletproof vest', 0.12989402], ['web site', 0.034963764], ['swimming trunks', 0.031041393], ['maillot', 0.029808203]]",uCNXhk4jFXY
18,"[['comic book', 0.16667256], ['television', 0.16464259], ['suit', 0.11453529], ['Windsor tie', 0.08777726], ['web site', 0.05055642]]",FvBcYkY7ZGo
19,"[['microphone', 0.907597], ['television', 0.042943973], ['stage', 0.01648563], ['monitor', 0.0069569824], ['sax', 0.0057821237]]",2kCbFmjEi6A
20,"[['ice lolly', 0.24047868], ['maze', 0.044608943], ['microphone', 0.037117526], ['wig', 0.03625455], ['stage', 0.02090152]]",qpAo_XvCQaQ
21,"[['web site', 0.2630996], ['abaya', 0.09550662], ['perfume', 0.05302362], ['gown', 0.05035148], ['face powder', 0.045778625]]",G4MTmN7n8Ks
22,"[['television', 0.42441782], ['screen', 0.1429929], ['panpipe', 0.08585531], ['monitor', 0.07489901], ['web site', 0.040783063]]",87YT_i8Eu5s
23,"[['theater curtain', 0.310898], ['stage', 0.23579963], ['television', 0.13369317], ['hair spray', 0.09944239], ['groom', 0.03529877]]",Kpxn9nl02qg
24,"[['soccer ball', 0.66012913], ['bulletproof vest', 0.032056328], ['volleyball', 0.015789002], ['neck brace', 0.013283721], ['Norfolk terrier', 0.00884062]]",oRSVrtKph_k
25,"[['wig', 0.2819075], ['crutch', 0.07188709], ['Windsor tie', 0.063300654], ['neck brace', 0.02569392], ['marimba', 0.020501334]]",HaI5lLd3RvE
26,"[['web site', 0.49448442], ['street sign', 0.27695662], ['book jacket', 0.0130111035], ['scoreboard', 0.010233562], ['brass', 0.008598941]]",m-Q0Ng61bT4
27,"[['television', 0.45094162], ['sports car', 0.25501826], ['bobsled', 0.08517332], ['monitor', 0.06663468], ['ski', 0.018767763]]",QM9xgHibvzM
28,"[['television', 0.5330407], ['web site', 0.12075487], ['sax', 0.030900512], ['electric guitar', 0.02244577], ['stage', 0.022010528]]",rll790aP60Q
29,"[['lab coat', 0.07912133], ['bolo tie', 0.07258186], ['sax', 0.07160515], ['sunglass', 0.054935258], ['television', 0.051662717]]",tTlxjhG7SOI
30,"[['volleyball', 0.23950848], ['racket', 0.18267824], ['knee pad', 0.029246945], ['window screen', 0.025578164], ['television', 0.024674214]]",NBYL_QwYhjs
31,"[['television', 0.11481387], ['microphone', 0.11052209], ['comic book', 0.10803889], ['barbershop', 0.09164665], ['prison', 0.032114103]]",0SLu6i6Rm2g
32,"[['theater curtain', 0.18481994], ['matchstick', 0.078082375], ['web site', 0.070710145], ['spotlight', 0.052055884], ['perfume', 0.029213926]]",idD1C2-ISlo
33,"[['television', 0.5451454], ['maraca', 0.13337612], ['home theater', 0.030190848], ['screen', 0.028598638], ['microphone', 0.026893774]]",5ER1LOarlgg
34,"[['football helmet', 0.9894992], ['basketball', 0.0003943244], ['web site', 0.00031020874], ['bobsled', 0.00021557354], ['book jacket', 0.00021473393]]",V2onC1_QOmU
35,"[['Band Aid', 0.6473058], ['web site', 0.037085883], ['abaya', 0.030832794], ['envelope', 0.024359293], ['television', 0.017406661]]",cWy8jWXhdnA
36,"[['comic book', 0.19946434], ['television', 0.07860108], ['book jacket', 0.05007828], ['accordion', 0.043174453], ['web site', 0.039303742]]",miY8hckQPwc
37,"[['television', 0.29761863], ['microphone', 0.040036496], ['comic book', 0.034556728], ['wig', 0.031242138], ['cloak', 0.02758747]]",ia_NWRMgoAA
38,"[['lab coat', 0.16875575], ['web site', 0.05799893], ['library', 0.03463779], ['half track', 0.03199276], ['stretcher', 0.02817047]]",zMLfhTnyPVs
39,"[['stage', 0.48858422], ['killer whale', 0.06709105], ['balance beam', 0.022359239], ['dumbbell', 0.016595962], ['unicycle', 0.016188204]]",VhMW87avFIM
40,"[['television', 0.36263874], ['web site', 0.064692855], ['comic book', 0.053428188], ['Windsor tie', 0.045626935], ['sax', 0.024747366]]",Kc6j1IAK19k
41,"[['television', 0.36625683], ['screen', 0.08872718], ['web site', 0.070447], ['book jacket', 0.044341896], ['hair spray', 0.030477267]]",yl2GaxVGUaI
42,"[['cleaver', 0.54774606], ['microphone', 0.080317006], ['television', 0.04959472], ['stage', 0.024440562], ['web site', 0.01960556]]",dPcclBGKAMw
43,"[['web site', 0.13293038], ['comic book', 0.11521095], ['wig', 0.090203546], ['miniskirt', 0.035017546], ['book jacket', 0.029568888]]",gImQUUb8cU4
44,"[['marimba', 0.3626059], ['steel drum', 0.09758405], ['Indian cobra', 0.04583805], [""potter's wheel"", 0.032594655], ['tobacco shop', 0.01798265]]",qIXvh9rXWJs
45,"[['bubble', 0.21720554], ['maraca', 0.13085161], ['hair spray', 0.075175695], ['book jacket', 0.035129458], ['comic book', 0.028012186]]",XTTf2fmh_QM
46,"[['basketball', 0.8357324], ['volleyball', 0.016768534], ['whistle', 0.013323162], ['television', 0.011065399], ['scoreboard', 0.00957364]]",UBh2ydkoDU4
47,"[['traffic light', 0.4612727], ['street sign', 0.07859589], ['football helmet', 0.06822947], ['freight car', 0.02323148], ['crash helmet', 0.021574764]]",tOr88uFiOjQ
48,"[['lipstick', 0.74288803], ['web site', 0.030583145], ['book jacket', 0.025734449], ['wig', 0.010365209], ['comic book', 0.008946215]]",PmUL6wMpMWw
49,"[['comic book', 0.6113706], ['street sign', 0.05124908], ['web site', 0.03761873], ['television', 0.015323554], ['monitor', 0.007897558]]",WAwRrtH-4Lg
50,"[['television', 0.12669365], ['theater curtain', 0.065811254], ['stage', 0.052800093], ['cinema', 0.036046598], ['hair spray', 0.035996508]]",ZJkc_C5-Cd8
51,"[['ping-pong ball', 0.99858814], ['wood rabbit', 5.2022813e-05], ['golf ball', 4.8445712e-05], ['web site', 1.847512e-05], ['croquet ball', 1.5840422e-05]]",Y-iFgDK_D5s
52,"[['restaurant', 0.30566776], ['ocarina', 0.16619247], ['groom', 0.074625924], ['dining table', 0.056473795], ['bubble', 0.05000181]]",IiRmtBZu0pM
53,"[['television', 0.21607257], ['web site', 0.18852979], ['hair spray', 0.04876522], ['monitor', 0.037892107], ['screen', 0.027501727]]",DnSO5Uhobvo
54,"[['comic book', 0.9486458], ['television', 0.008361177], ['book jacket', 0.0013652053], ['web site', 0.001001884], ['jigsaw puzzle', 0.00064833084]]",lrWRy9BBp-c
55,"[['Windsor tie', 0.55573004], ['television', 0.29746652], ['suit', 0.039511036], ['web site', 0.023620803], ['monitor', 0.0073968195]]",N1MZRowhMtc
56,"[['printer', 0.047669742], ['hard disc', 0.03843942], ['web site', 0.03351167], ['packet', 0.03103764], ['jigsaw puzzle', 0.026292361]]",q260bjSiyq0
57,"[['television', 0.15236644], ['monitor', 0.061224718], ['whistle', 0.054097597], ['ski', 0.03562948], ['torch', 0.028407278]]",bzzk0R14HD4
58,"[['parallel bars', 0.603045], ['plane', 0.115727894], [""potter's wheel"", 0.02198579], ['horizontal bar', 0.012655968], ['stretcher', 0.011465837]]",yLdav-8af6g
59,"[['television', 0.22727935], ['scoreboard', 0.14225613], ['monitor', 0.12711614], ['Windsor tie', 0.046644676], ['torch', 0.037893713]]",34yQnVJDTt8
60,"[['muzzle', 0.3149539], ['ashcan', 0.05169294], ['knee pad', 0.045199357], ['teddy', 0.035957288], ['malinois', 0.023473619]]",ClM-MORjXQI
61,"[['bassoon', 0.32204026], ['violin', 0.05308339], ['rifle', 0.033224717], ['cinema', 0.03246425], ['laptop', 0.0219289]]",PHhYqLCsAos
62,"[['football helmet', 0.97757816], ['television', 0.0032335615], ['knee pad', 0.0026585127], ['ballplayer', 0.00094277854], ['maillot', 0.0008142837]]",T_AyI8I4O3U
63,"[['barbershop', 0.35629615], ['washbasin', 0.16172405], ['television', 0.045452893], ['lab coat', 0.034120604], ['medicine chest', 0.0184141]]",_f_LqAXzol0
64,"[['pickelhaube', 0.53578144], ['military uniform', 0.11906821], ['television', 0.06778411], ['bearskin', 0.028038463], ['monitor', 0.015477246]]",Zukh-0csKPc
65,"[['ballplayer', 0.23787978], ['scoreboard', 0.16483723], ['football helmet', 0.09671252], ['knee pad', 0.04424705], ['television', 0.023458911]]",d4a9KApRUks
66,"[['ski mask', 0.5334097], ['panpipe', 0.05985952], ['cellular telephone', 0.026523508], ['television', 0.021237664], ['abaya', 0.017871954]]",WrcwcMIYpQg
67,"[['television', 0.24364722], ['web site', 0.19549681], ['ski', 0.05261171], ['screen', 0.043941047], ['cliff', 0.040565953]]",NHrwcQQ38bA
68,"[['ski', 0.7457753], ['plow', 0.031004084], ['crane', 0.010988038], ['bassoon', 0.0039627757], ['wreck', 0.003425335]]",uUCdUCxTjyI
69,"[['comic book', 0.14442253], ['monitor', 0.095039174], ['fur coat', 0.08661819], ['television', 0.07359419], ['web site', 0.036293745]]",rR-wWKCe92o
70,"[['screen', 0.18279572], ['monitor', 0.16394767], ['web site', 0.1366335], ['television', 0.08269011], ['magnetic compass', 0.07309137]]",hYc95vB-nT4
71,"[['television', 0.48435712], ['web site', 0.24012634], ['monitor', 0.033388477], ['nipple', 0.025494108], ['Band Aid', 0.017020175]]",PUcS24GuAog
72,"[['jersey', 0.67604977], ['web site', 0.13399298], ['jean', 0.019287629], ['miniskirt', 0.017650794], ['maillot', 0.016273497]]",FB64ez0kf1c
73,"[['bulletproof vest', 0.18888994], ['microphone', 0.12334427], ['comic book', 0.1188783], ['electric guitar', 0.045359835], ['web site', 0.024279252]]",zGN8ghHMaKw
74,"[['television', 0.5686846], ['monitor', 0.17606412], ['quilt', 0.047597352], ['web site', 0.023626134], ['studio couch', 0.0197061]]",IVzGsh0zRec
75,"[['ballpoint', 0.08235143], ['television', 0.06615681], ['maillot', 0.050091535], ['digital clock', 0.039575912], ['web site', 0.034637302]]",41oqd-mogW8
76,"[['sunglasses', 0.22343726], ['web site', 0.083930895], ['cellular telephone', 0.0736143], ['toaster', 0.066615954], ['hand blower', 0.05317904]]",L1TScBDOdwc
77,"[['toaster', 0.06376709], ['bulletproof vest', 0.06071572], ['television', 0.054873813], ['neck brace', 0.054585468], ['web site', 0.029206885]]",I92OeEHWmTc
78,"[['theater curtain', 0.14637005], ['stage', 0.14485434], ['monitor', 0.038772978], ['electric guitar', 0.03876257], ['television', 0.025669469]]",eEdPnm-AZ94
79,"[['web site', 0.4207108], ['notebook', 0.17046572], ['monitor', 0.09946516], ['laptop', 0.053184092], ['comic book', 0.031669147]]",JIr6Bv_JTSw
80,"[['barn', 0.9791591], ['boathouse', 0.0010748811], ['theater curtain', 0.0008475677], ['web site', 0.0007268083], ['screen', 0.0003519974]]",xnZA52oTp6M
81,"[['television', 0.50859296], ['scoreboard', 0.11575443], ['monitor', 0.0521719], ['screen', 0.051341698], ['web site', 0.044460386]]",dcVFxgm2S1I
82,"[['book jacket', 0.25077707], ['web site', 0.24148192], ['bow tie', 0.047874697], ['carton', 0.020282833], ['loupe', 0.016088594]]",JAqQ8Myx-1c
83,"[['sunglasses', 0.6947675], ['sunglass', 0.2925843], ['bow tie', 0.0049242126], ['suit', 0.0011054538], ['web site', 0.0005608376]]",7LQ08Lyy_tw
84,"[['cinema', 0.41144487], ['comic book', 0.08015383], ['bakery', 0.068893835], ['restaurant', 0.041168507], ['lampshade', 0.039940204]]",VIfGG7wLlM4
85,"[['book jacket', 0.2739497], ['web site', 0.11999513], ['theater curtain', 0.0994669], ['perfume', 0.0992059], ['pick', 0.014239843]]",caCdf94Blfw
86,"[['lotion', 0.7669492], ['hair spray', 0.0728823], ['perfume', 0.03417539], ['face powder', 0.018903976], ['sunscreen', 0.016504249]]",d3h_uD-5d7A
87,"[['Windsor tie', 0.52817655], ['suit', 0.41851753], ['web site', 0.009876329], ['hand-held computer', 0.0055473894], ['Loafer', 0.0036642284]]",wrpeEitIEpA
88,"[['television', 0.11572018], ['monitor', 0.10626922], ['scoreboard', 0.10220332], ['tench', 0.067632526], ['web site', 0.061246626]]",BVRvrvCQdmg
89,"[['television', 0.18680936], ['monitor', 0.10438703], ['ox', 0.08412187], ['web site', 0.032629974], ['oxcart', 0.03059396]]",ERyfRmz0N-w
90,"[['table lamp', 0.36124358], ['lampshade', 0.19524834], ['window shade', 0.032085788], ['tobacco shop', 0.023731587], ['wall clock', 0.019034117]]",Lj6Y6JCu-l4
91,"[['wig', 0.7582163], ['television', 0.028168691], ['hair spray', 0.009727114], ['monitor', 0.0085408455], ['screen', 0.0069888067]]",e2ExvdtmIyU
92,"[['television', 0.5633567], ['web site', 0.21218778], ['monitor', 0.017933598], ['syringe', 0.010108576], ['hand blower', 0.0070441277]]",5x-d3pabd5o
93,"[['poncho', 0.38751942], ['television', 0.04941662], ['web site', 0.038489167], ['perfume', 0.032560833], ['pajama', 0.021790046]]",rWHrWuDnReM
94,"[['tub', 0.53158665], ['bathtub', 0.42912945], ['shower cap', 0.00093480706], ['shower curtain', 0.000802722], ['web site', 0.0006914141]]",MUcBkpwnKcE
95,"[['racket', 0.5219483], ['sunglass', 0.071647525], ['torch', 0.05544507], ['tennis ball', 0.0547567], ['lab coat', 0.03891484]]",EsdjC5dsOTM
96,"[['television', 0.4575548], ['suit', 0.15748245], ['monitor', 0.07544868], ['stage', 0.05995171], ['Windsor tie', 0.04364559]]",J41qe-TM1DY
