,0,1
0,[],uRP4nAGMYCY
1,['Neutral'],KVit4vSAMsk
2,[],kJzSzGbfc0k
3,"['Happy', 'Neutral', 'Sad', 'Sad', 'Angry', 'Sad']",C7lQ_jqSqKQ
4,[],vyqCSzFZyXg
5,[],Csnsq9f_ZkQ
6,"['Happy', 'Happy']",N4MtzsregT8
7,['Happy'],C54cHGCwBdk
8,['Neutral'],iPf_ifCKftc
9,[],MWbQdgjsvJI
10,['Fear'],tyjVu_IFKMc
11,"['Sad', 'Sad', 'Fear', 'Neutral', 'Happy', 'Happy', 'Happy']",L3ymBk6Vb04
12,[],cUa93K56cc0
13,"['Angry', 'Sad']",cRTwgPj0qx4
14,[],NHZr6P1csiY
15,[],JYmejM38vKs
16,[],cBVTghAXTMw
17,"['Happy', 'Happy']",-2aVkGcI7ZA
18,"['Happy', 'Happy', 'Fear', 'Happy']",oY9GVZKwBhI
19,"['Happy', 'Sad']",903QDFbbeww
20,"['Neutral', 'Neutral']",_zCDvOsdL9Q
21,['Fear'],pZYJGAWc-R0
22,[],34cHO5_LX9g
23,['Happy'],XzzQL96yAwE
24,"['Happy', 'Neutral', 'Sad', 'Happy']",ZP57Kn9eAAQ
25,['Happy'],iWZmdoY1aTE
26,['Angry'],T1-k7VYwsHg
27,[],94k6kEVGZzg
28,[],QtNvvWsSsoE
29,"['Sad', 'Happy', 'Neutral']",PAHm7SEhhuw
30,['Sad'],5MJpurZ9ShI
31,[],L90R6PtxFKE
32,"['Angry', 'Sad']",NtKS8YR5ioo
33,"['Happy', 'Happy']",FO6My1joJVc
34,['Angry'],u_C4onVrr8U
35,['Angry'],V1Pl8CzNzCw
36,['Neutral'],PZxyNX8J7Y4
37,"['Happy', 'Sad']",4ZO-jde2smo
38,[],S0OICOBR19Q
39,['Fear'],t5uVXqNLMDc
40,['Neutral'],uovntV3ZMDc
41,['Happy'],_wrEYqdTf98
42,"['Neutral', 'Angry']",-1Hm41N0dUs
43,"['Sad', 'Angry', 'Fear']",5JYqTSSH6IA
44,"['Happy', 'Sad']",hDYPVhwULCc
45,"['Angry', 'Happy']",jpH-8HiMCRI
46,[],ALXiloyym0M
47,['Happy'],SX9mF288Tb8
48,"['Happy', 'Happy', 'Sad', 'Happy', 'Neutral', 'Happy', 'Sad', 'Happy', 'Sad', 'Neutral']",9H2SSvQ8ihA
49,"['Angry', 'Neutral']",OlGvjhLZDS8
50,[],DTDnD3MYwuk
51,[],HBvPrh2yMik
52,['Sad'],rEdl2Uetpvo
53,[],5g2UZr5RGgg
54,[],TBF7eTSTWLA
55,['Happy'],hdoLeKGoSjw
56,"['Neutral', 'Happy', 'Neutral', 'Happy', 'Sad']",goIXAFdlcUw
57,"['Happy', 'Angry']",RFywfHsFpQM
58,"['Neutral', 'Happy', 'Happy', 'Angry', 'Angry', 'Fear', 'Sad', 'Happy', 'Angry', 'Happy']",GsexKH-Ubnw
59,"['Angry', 'Neutral']",bvh_H0LsXpk
60,[],xe5tXZs-iWw
61,[],ZUV53Nn3PhA
62,[],tMazN5uH49U
63,['Happy'],CbWP9nvnRhw
64,[],QSFmuI-DAK4
65,['Neutral'],LryQJ25CnKU
66,['Happy'],4_eVvzrTV-I
67,"['Fear', 'Sad']",NukmFF__G-g
68,['Angry'],0GKC_nj7B44
69,[],CiaoTcPpbDE
70,['Happy'],BFkTu8Y1KLs
71,['Happy'],RdAJZJd_O2E
72,"['Neutral', 'Angry', 'Happy', 'Happy', 'Angry', 'Happy']",_tAUu9tNNIM
73,"['Fear', 'Neutral', 'Neutral']",lE0eWRdSrY4
74,['Happy'],D5D90CLAILY
75,['Angry'],2BwxeOzSx8A
76,['Sad'],2DVg-P0mZE4
77,['Fear'],tpa4kp4lK60
78,['Sad'],O92pekaban8
79,[],8fbyfDbi-MI
80,[],Es9CfWMmPRU
81,['Happy'],hQA0oWZpgAQ
82,"['Happy', 'Fear', 'Happy']",qSKOPBVkpJk
83,['Angry'],pXpfGJpmhNI
84,"['Happy', 'Angry', 'Happy', 'Angry']",2QMjAiy_2t8
85,[],IcDI1iWmIp8
