video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
-1Hm41N0dUs,see 14 win jimmy scommel livei,see win jimmy scommel livei,"[""[[192, 144], [221, 162]]"", ""[[249, 149], [291, 168]]"", ""[[41, 206], [105, 230]]"", ""[[11, 207], [179, 304]]"", ""[[109, 270], [166, 289]]""]"
-1yT-K3c6YI,truth or dare,truth dare,"[""[[156, 186], [285, 225]]"", ""[[166, 266], [284, 305]]""]"
-2RVw2_QyxQ,chawdows chess club cosco andischolatic conter,chawdows chess club cosco andischolatic conter,"[""[[249, 221], [438, 280]]"", ""[[115, 221], [155, 246]]"", ""[[150, 222], [184, 246]]"", ""[[129, 236], [172, 262]]"", ""[[116, 254], [163, 275]]"", ""[[160, 254], [185, 271]]""]"
-2aVkGcI7ZA,1,,[]
-2b4qSoMnKE,cnn,cnn,"[""[[13, 224], [180, 303]]""]"
-2wRFv-mScQ,10 top moments celebrity game,top moment celebrity game,"[""[[24, 124], [113, 196]]"", ""[[232, 209], [362, 257]]"", ""[[21, 210], [158, 257]]"", ""[[160, 210], [233, 256]]""]"
-35jibKqbEo,skies casties glitter under spanish,sky casties glitter spanish,"[""[[356, 158], [384, 168]]"", ""[[206, 160], [242, 168]]"", ""[[245, 160], [282, 170]]"", ""[[316, 160], [353, 169]]""]"
-37nIo_tLnk,wallace rasheed decemb ren,wallace rasheed decemb ren,"[""[[182, 260], [242, 274]]"", ""[[124, 261], [182, 274]]"", ""[[180, 276], [208, 285]]"", ""[[161, 277], [176, 285]]""]"
-39ysKKpE7I,first take,first take,"[""[[20, 232], [140, 261]]"", ""[[21, 258], [136, 285]]""]"
-3h4Xt9No9o,sea ofokhotsk okhotak thaw 6 uncist part3 lando stockholm sweden oslos norway tiska i or britain and bering glasgow tra sea nome jiceland dutch foyne narbor avykeykawik alaska nland fairbanks anchora a god thaab,sea ofokhotsk okhotak thaw uncist part3 lando stockholm sweden oslo norway tiska britain bering glasgow tra nome jiceland dutch foyne narbor avykeykawik alaska nland fairbanks anchora god thaab,"[""[[13, 208], [33, 217]]"", ""[[21, 48], [76, 58]]"", ""[[80, 49], [122, 57]]"", ""[[356, 48], [473, 89]]"", ""[[363, 92], [394, 101]]"", ""[[413, 98], [477, 117]]"", ""[[378, 101], [409, 112]]"", ""[[370, 116], [421, 126]]"", ""[[374, 129], [413, 137]]"", ""[[406, 138], [432, 149]]"", ""[[384, 148], [421, 157]]"", ""[[0, 170], [24, 178]]"", ""[[434, 170], [477, 180]]"", ""[[7, 183], [41, 195]]"", ""[[416, 189], [454, 198]]"", ""[[2, 196], [21, 204]]"", ""[[52, 214], [81, 224]]"", ""[[381, 221], [442, 234]]"", ""[[16, 223], [44, 234]]"", ""[[449, 225], [481, 236]]"", ""[[17, 233], [48, 240]]"", ""[[380, 236], [450, 255]]"", ""[[56, 244], [128, 263]]"", ""[[346, 254], [407, 267]]"", ""[[60, 262], [108, 270]]"", ""[[28, 278], [68, 286]]"", ""[[337, 297], [356, 306]]"", ""[[356, 297], [384, 306]]""]"
