,0,1
0,"[['comic book', 0.86250323], ['web site', 0.013767279], ['balloon', 0.0075528016], ['Band Aid', 0.0040048296], ['book jacket', 0.0034747892]]",pfM1F0fBTo8
1,"[['Band Aid', 0.080310196], ['academic gown', 0.059324738], ['mortarboard', 0.026734348], ['neck brace', 0.021982003], ['plunger', 0.021832738]]",qtW9ornyPIQ
2,"[['book jacket', 0.94082326], ['web site', 0.0078122676], ['television', 0.003786585], ['comic book', 0.0026906934], ['flute', 0.002397975]]",g3IvVejktJE
3,"[['acoustic guitar', 0.5908251], ['electric guitar', 0.27631214], ['pick', 0.035997983], ['stage', 0.012951533], ['microphone', 0.0079835085]]",zO0dIgvpmfw
4,"[['lipstick', 0.5405755], ['perfume', 0.3670615], ['lighter', 0.0131994635], ['cocktail shaker', 0.009740078], ['can opener', 0.009190413]]",PrNRtC3XfWk
5,"[['television', 0.12265134], ['fur coat', 0.08627147], ['web site', 0.05653854], ['restaurant', 0.027019562], ['Windsor tie', 0.02602939]]",OGPsw2f_HQk
6,"[['television', 0.3099842], ['ballplayer', 0.14410552], ['scoreboard', 0.103640676], ['barbershop', 0.04521559], ['comic book', 0.033236396]]",NTN2gD9LJnU
7,"[['window screen', 0.27943853], ['chain', 0.046592973], ['hook', 0.041078363], ['junco', 0.040510364], ['lighter', 0.034942262]]",UOHURuAf5iY
8,"[['bannister', 0.48966214], ['parallel bars', 0.20392065], ['prison', 0.03798484], ['bathtub', 0.031235822], ['horizontal bar', 0.021863308]]",mLuzmXLORSg
9,"[['web site', 0.51334494], ['notebook', 0.14644197], ['laptop', 0.09504412], ['monitor', 0.05273105], ['television', 0.03694085]]",RHpnWg6tdaw
10,"[['oscilloscope', 0.993537], ['crossword puzzle', 0.0011192358], ['sliding door', 0.00016335446], ['digital clock', 0.0001537928], ['bookcase', 0.00013279913]]",b7FxPsqfkOY
11,"[['shower cap', 0.44199705], ['television', 0.15006216], ['monitor', 0.041838802], ['bathing cap', 0.038851842], ['web site', 0.018325005]]",Ml9v3wHLuWI
12,"[['comic book', 0.18915561], ['web site', 0.15710784], ['sweatshirt', 0.049184635], ['tench', 0.0395987], ['book jacket', 0.03751909]]",DAi3GgwhDR0
13,"[['torch', 0.73734415], ['television', 0.062052544], ['monitor', 0.021959739], ['bobsled', 0.019222327], ['groom', 0.018218653]]",tl4I1b6cHKc
14,"[['web site', 0.16691576], ['wig', 0.08881584], ['hair spray', 0.04910633], ['television', 0.040341895], ['dumbbell', 0.03292418]]",tN8o_E_f9FQ
15,"[['swab', 0.3317176], ['projector', 0.13210447], ['bobsled', 0.12420019], ['hair slide', 0.049279112], ['screwdriver', 0.04111731]]",o-BODsf2T68
16,"[['ice cream', 0.82484627], ['abaya', 0.011163026], ['groom', 0.0051748366], ['dough', 0.0050891577], ['brassiere', 0.0050170138]]",HxuHo62reRw
17,"[['suit', 0.43839812], ['trench coat', 0.10719025], ['paddlewheel', 0.06697775], ['fur coat', 0.04200368], ['miniskirt', 0.02429854]]",5hpuoMilm_4
18,"[['hotdog', 0.1284836], ['plane', 0.08602035], ['ear', 0.061915714], ['maraca', 0.05648554], ['web site', 0.055578187]]",sTwiDhosVks
19,"[['television', 0.50029695], ['monitor', 0.03029195], ['comic book', 0.028603781], ['stage', 0.023908202], ['home theater', 0.022880998]]",2WHcBwq2wHc
20,"[['microphone', 0.29618695], ['cellular telephone', 0.12237331], ['harmonica', 0.10588917], ['stage', 0.039209682], ['ice lolly', 0.034684]]",JBTNG-8w5_g
21,"[['scoreboard', 0.19772527], ['television', 0.056332055], ['web site', 0.042446263], ['sweatshirt', 0.03423774], ['prison', 0.031148972]]",yMf3dvNzXbU
22,"[['Windsor tie', 0.4734382], ['television', 0.07070291], ['scoreboard', 0.06628379], ['suit', 0.02062412], ['monitor', 0.015496157]]",PH3lTEhNkUk
23,"[['web site', 0.29365385], ['hair spray', 0.16018176], ['television', 0.07873587], ['wig', 0.043621905], ['brassiere', 0.032939192]]",EZXu7RxBR0Y
24,"[['sturgeon', 0.073016465], ['eel', 0.06309362], ['coho', 0.06039746], ['iron', 0.058547325], ['barracouta', 0.034197547]]",YZ1UN5gvLjQ
25,"[['comic book', 0.69563293], ['envelope', 0.14153478], ['web site', 0.019557877], ['pencil box', 0.008379119], ['menu', 0.006458603]]",rrwd2_UkmNw
26,"[['meat loaf', 0.97360027], ['plate', 0.0023669342], ['rotisserie', 0.0014787033], ['mashed potato', 0.0006633035], ['gyromitra', 0.0004929542]]",m7Ege1M5Pag
27,"[['lipstick', 0.797578], ['face powder', 0.08646862], ['wig', 0.04928789], ['mask', 0.009412713], ['abaya', 0.006702394]]",X4Ul5vTJ-uk
28,"[['web site', 0.8765606], ['oxygen mask', 0.010867391], ['comic book', 0.0043491], ['monitor', 0.002589652], ['television', 0.0024835633]]",bEWLOo12UAU
29,"[['web site', 0.34086427], ['hand-held computer', 0.15839376], ['iPod', 0.10310781], ['packet', 0.10215084], ['notebook', 0.036921997]]",sK2RoVVxQsA
30,"[['web site', 0.24911347], ['tray', 0.1800861], ['digital clock', 0.044129808], ['pencil box', 0.039150257], ['ballpoint', 0.029592846]]",CH3aAnw7XeU
31,"[['ice lolly', 0.846137], ['bubble', 0.0171828], ['Band Aid', 0.01232668], ['web site', 0.010514604], ['comic book', 0.0059734406]]",oZYryYLYIsM
32,"[['Egyptian cat', 0.08854386], ['sleeping bag', 0.08279313], ['quilt', 0.08127213], ['television', 0.049005233], ['Siamese cat', 0.033458088]]",DRfniGCgW0I
33,"[['jellyfish', 0.44542998], ['sea anemone', 0.20727332], ['isopod', 0.015602211], ['feather boa', 0.013807623], ['quill', 0.006898734]]",fPeQR-_JBzU
34,"[['cleaver', 0.9173585], ['hatchet', 0.02421451], ['shovel', 0.0014158331], ['plow', 0.00045447174], ['snowplow', 0.00031796834]]",1QmPCVW6jOs
35,"[['bee', 0.2703098], ['honeycomb', 0.17118657], ['web site', 0.031335946], ['ant', 0.0275265], ['fly', 0.018256703]]",CUNq2_VjRn4
36,"[['book jacket', 0.7569327], ['safe', 0.0052428585], ['volcano', 0.0049418607], ['file', 0.0044090357], ['stove', 0.0039959894]]",rsEne1ZiQrk
37,"[[""jack-o'-lantern"", 0.3376704], ['mask', 0.28426453], ['football helmet', 0.06564769], ['ski mask', 0.030132331], ['comic book', 0.02861769]]",CeCgsmTjHjk
