video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
-5WBCrazSfg,2 2 2 2 2 dream side 5 a,dream side,"[""[[33, 266], [217, 309]]"", ""[[333, 266], [446, 309]]""]"
0-VAnh7r-_8,destinyt2 forsaken 3if,destinyt2 forsaken 3if,"[""[[29, 54], [154, 68]]"", ""[[9, 73], [173, 93]]"", ""[[81, 98], [102, 114]]""]"
09lz1fRBBsY,inoutheality lil peep drangs,inoutheality lil peep drangs,"[""[[372, 85], [460, 138]]"", ""[[86, 192], [198, 270]]"", ""[[217, 213], [394, 286]]"", ""[[314, 262], [354, 282]]""]"
0ANDjPQPS_Q,thank you ponelocks youlobe,thank ponelocks youlobe,"[""[[1, 134], [163, 200]]"", ""[[327, 208], [361, 226]]"", ""[[327, 234], [358, 254]]""]"
0AUFyFEt35g,smtown official,smtown official,"[""[[109, 246], [189, 262]]"", ""[[108, 268], [193, 285]]""]"
0DpCDxoj_Xg,christmas carpool,christmas carpool,"[""[[16, 253], [265, 308]]"", ""[[274, 253], [477, 305]]""]"
0GQmGOju6CE,meet ghost my,meet ghost,"[""[[21, 253], [108, 300]]"", ""[[165, 253], [265, 301]]""]"
0JcNT6jYGwI,worst best of the episode 65 houg plinketto,bad best episode houg plinketto,"[""[[272, 52], [468, 104]]"", ""[[13, 53], [197, 103]]"", ""[[13, 104], [105, 130]]"", ""[[333, 202], [468, 264]]"", ""[[13, 218], [313, 299]]""]"
0NS51Iph2Ms,fox news channel,fox news channel,"[""[[40, 230], [101, 258]]"", ""[[25, 258], [102, 284]]"", ""[[17, 290], [102, 301]]""]"
0NWKUHl6JLY,nindies 2018 showcase spring switter nintendo,nindies 2018 showcase spring switter nintendo,"[""[[117, 160], [197, 181]]"", ""[[388, 159], [443, 181]]"", ""[[201, 161], [312, 181]]"", ""[[314, 161], [386, 185]]"", ""[[30, 180], [78, 197]]"", ""[[38, 264], [136, 281]]""]"
0O2IAz1E9Ts,jai 22 a man was mikidaboun vanity fair,jai man mikidaboun vanity fair,"[""[[13, 198], [24, 205]]"", ""[[42, 205], [72, 210]]"", ""[[29, 212], [81, 217]]"", ""[[12, 265], [120, 306]]"", ""[[122, 266], [189, 305]]""]"
0PW9MWDWLH8,whisper challenge wl my mom,whisper challenge mom,"[""[[27, 188], [180, 233]]"", ""[[3, 225], [199, 271]]"", ""[[109, 269], [192, 310]]""]"
0RxhuBwCwMs,jimmy ximinate livei,jimmy ximinate livei,"[""[[40, 206], [105, 230]]"", ""[[11, 208], [177, 302]]"", ""[[109, 270], [166, 289]]""]"
0SLu6i6Rm2g,hollywood the beatdown,hollywood beatdown,"[""[[43, 199], [216, 261]]"", ""[[15, 252], [220, 300]]""]"
0URpDxIjZrQ,christopher robin official trailer,christopher robin official trailer,"[""[[16, 66], [117, 91]]"", ""[[38, 86], [102, 112]]"", ""[[104, 268], [241, 302]]"", ""[[250, 269], [377, 302]]""]"
0VQysq26ozE,ode trailer launch,ode trailer launch,"[""[[21, 58], [125, 108]]"", ""[[189, 264], [350, 302]]"", ""[[13, 265], [184, 305]]""]"
0XR-FwfdOos,and,,[]
0XuOkYlUWIs,reasons why 13 official trailer,reason official trailer,"[""[[62, 60], [220, 85]]"", ""[[31, 223], [253, 265]]"", ""[[32, 264], [234, 304]]""]"
