,0,1
0,"[['wig', 0.53697944], ['bikini', 0.06988907], ['maillot', 0.053489815], ['web site', 0.050847903], ['monitor', 0.029443383]]",uwbd0-gaoY8
1,"[['pick', 0.57366097], ['magnetic compass', 0.2558709], ['Petri dish', 0.020212006], ['puck', 0.009972455], ['combination lock', 0.00921351]]",SzAuB2FG79A
2,"[['web site', 0.44318408], ['comic book', 0.3392975], ['book jacket', 0.044180013], ['scoreboard', 0.02107987], ['monitor', 0.019547168]]",MLywBJCOK6Q
3,"[['television', 0.84378844], ['monitor', 0.10390575], ['screen', 0.035384063], ['home theater', 0.003153646], ['web site', 0.0028735255]]",YuAA5DEXbG4
4,"[['comic book', 0.29392943], ['web site', 0.11097834], ['Band Aid', 0.11012672], ['television', 0.06964957], ['Windsor tie', 0.051183283]]",nt7b-Qp34hk
5,"[['lipstick', 0.99630046], ['face powder', 0.0006246395], ['syringe', 0.00059132936], ['ice lolly', 9.408669e-05], ['web site', 8.280521e-05]]",bNF9VJgfPS4
6,"[['cello', 0.101220444], ['violin', 0.05361073], ['neck brace', 0.034734208], ['sunglasses', 0.030078659], ['maraca', 0.026558517]]",7FM_MfpYOLU
7,"[['book jacket', 0.4946808], ['cash machine', 0.062374275], ['television', 0.058498893], ['home theater', 0.023780234], ['cinema', 0.018649774]]",d7gOtEwaJzw
8,"[['television', 0.28733304], ['suit', 0.2815802], ['monitor', 0.16401106], ['web site', 0.08690647], ['cab', 0.03671154]]",X_vVMmvjEts
9,"[['television', 0.23615077], ['web site', 0.1171897], ['prison', 0.0975515], ['bow', 0.06995788], ['bulletproof vest', 0.043328412]]",VwAnsAUYnw4
10,"[['book jacket', 0.62410253], ['comic book', 0.09048246], ['web site', 0.028072497], ['volcano', 0.011801576], ['oscilloscope', 0.011199597]]",mXiFHDfvn4A
11,"[['television', 0.78060955], ['screen', 0.110629946], ['monitor', 0.0366727], ['web site', 0.013433972], ['hair spray', 0.007475634]]",D_eZxSYRhco
12,"[['wig', 0.15291452], ['television', 0.066138335], ['hair spray', 0.050477225], ['hair slide', 0.038101368], ['lipstick', 0.0303282]]",wIimU5-UEPc
13,"[['seat belt', 0.19140632], ['car mirror', 0.16606237], ['limousine', 0.0634007], ['minibus', 0.05056118], ['sunglasses', 0.035864294]]",kLpH1nSLJSs
14,"[['limousine', 0.47344777], ['moving van', 0.032541323], ['minivan', 0.019262832], ['stage', 0.017500319], ['scoreboard', 0.015811486]]",HtNWc1AIU20
15,"[['bakery', 0.2862826], [""potter's wheel"", 0.14610663], ['butcher shop', 0.04271252], ['grocery store', 0.040381476], ['tray', 0.036976345]]",_hMQe2U4c6w
