,0,1
0,"[['Windsor tie', 0.60494447], ['suit', 0.1597841], ['academic gown', 0.032552585], ['web site', 0.020513592], ['television', 0.018744228]]",cgYHbIEZWW8
1,"[['wig', 0.9602119], ['television', 0.00084177277], ['hair spray', 0.0006416439], ['screen', 0.0005854175], ['mask', 0.0003846844]]",_0ovuLsnU1A
2,"[['television', 0.28985828], ['torch', 0.071824305], ['stage', 0.06728479], ['sax', 0.06579905], ['microphone', 0.044081356]]",p1tiCgVnCQ0
3,"[['comic book', 0.52753186], ['punching bag', 0.13041972], ['seat belt', 0.052632503], ['limousine', 0.039537486], ['television', 0.026136184]]",rZQepOFnYi8
4,"[['comic book', 0.22555119], ['web site', 0.08344079], ['book jacket', 0.044664204], ['menu', 0.032665294], ['theater curtain', 0.021670287]]",xLtYmhj-0Kg
5,"[['suit', 0.49324274], ['Windsor tie', 0.16364875], ['torch', 0.13575758], ['monitor', 0.05954445], ['groom', 0.039321892]]",hlGm5tse8ek
6,"[['airship', 0.32879433], ['packet', 0.1583235], ['jersey', 0.07155027], ['scoreboard', 0.020692587], ['buckle', 0.016705133]]",GOALfmDp_Dg
7,"[['bow', 0.269661], ['pick', 0.12247858], ['microphone', 0.040057547], ['hand-held computer', 0.039007466], ['tripod', 0.03383981]]",jziRzx_rejw
8,"[['amphibian', 0.43524227], ['sports car', 0.31913936], ['convertible', 0.11353821], ['go-kart', 0.03095807], ['racer', 0.01693075]]",SzB-tnaU0cM
9,"[['ice cream', 0.7012223], ['television', 0.054883555], ['plate', 0.034025576], ['monitor', 0.014210345], ['fig', 0.011122858]]",t50M1CM7E8s
10,"[['horizontal bar', 0.23592822], ['sock', 0.16575205], ['balance beam', 0.14044802], ['parallel bars', 0.0635692], ['Windsor tie', 0.028064314]]",m4-sL1r9i1I
11,"[['ski', 0.21966927], ['television', 0.11563917], ['bathing cap', 0.0795696], ['monitor', 0.074905604], ['paddle', 0.052734625]]",4gIR_q89g9Q
12,"[['comic book', 0.84416217], ['pencil box', 0.016802024], ['doormat', 0.012281168], ['jersey', 0.011309077], ['rubber eraser', 0.008432822]]",b03U6BYF9L0
13,"[['television', 0.23962632], ['balance beam', 0.1290876], ['Loafer', 0.0756271], ['Windsor tie', 0.06105586], ['parallel bars', 0.054163266]]",UgpL43chE-E
14,"[['digital clock', 0.8601311], ['oscilloscope', 0.01934006], ['digital watch', 0.0032460354], ['web site', 0.003166639], ['barbershop', 0.003009063]]",_KBc4B5JFoQ
15,"[['pajama', 0.22459762], ['candle', 0.14519551], ['marimba', 0.03539597], [""potter's wheel"", 0.035134416], ['laptop', 0.03131169]]",P2kfIRZtTOI
16,"[['volcano', 0.45040482], ['alp', 0.14415567], ['valley', 0.09680211], ['television', 0.0054769246], ['mountain tent', 0.005384397]]",3McYSX6jSIg
17,"[['volcano', 0.55317754], ['alp', 0.053684723], ['web site', 0.024852356], ['abaya', 0.023879351], ['cliff', 0.022237178]]",d54e3kcTlHM
18,"[['syringe', 0.31976396], ['Band Aid', 0.17400922], ['web site', 0.114493795], ['face powder', 0.07432678], ['lipstick', 0.062409308]]",lJmDmfQOWVw
19,"[['television', 0.9685441], ['monitor', 0.015557498], ['screen', 0.009798601], ['home theater', 0.001508423], ['web site', 0.0008185764]]",2rx8VHNG-DE
20,"[['web site', 0.8724339], ['Windsor tie', 0.0037463089], ['ibex', 0.003073774], ['neck brace', 0.0025227733], ['envelope', 0.0020180047]]",gDPr8Na24QU
21,"[['television', 0.42945668], ['Windsor tie', 0.17705292], ['monitor', 0.039761305], ['comic book', 0.03301002], ['suit', 0.030950867]]",BG0a04PX-zY
22,"[['book jacket', 0.6850609], ['electric guitar', 0.07467367], ['comic book', 0.06417319], ['web site', 0.010392408], ['volcano', 0.0069141933]]",suEeS2v334I
23,"[['television', 0.20791946], ['sunglasses', 0.121524766], ['web site', 0.057634212], ['jersey', 0.044071108], ['suit', 0.03347549]]",S_lN0-gtWF4
24,"[['envelope', 0.12866908], ['pajama', 0.10794083], ['apron', 0.105359115], ['academic gown', 0.06793432], ['torch', 0.047732677]]",VxWhgFU7nWE
25,"[['brassiere', 0.34754047], ['feather boa', 0.13461909], ['pole', 0.12927999], ['theater curtain', 0.11326257], ['maillot', 0.023022547]]",5y-tCo_v7pk
26,"[['greenhouse', 0.6296358], ['cellular telephone', 0.1595405], ['dial telephone', 0.024563516], ['prison', 0.013966754], ['pay-phone', 0.013551763]]",Lok2EvthO-U
27,"[['home theater', 0.47669375], ['television', 0.098485686], ['screen', 0.071761504], ['volcano', 0.04926483], ['monitor', 0.03948713]]",6vgGGAm7ANc
28,"[['mask', 0.90322536], ['comic book', 0.013509357], ['book jacket', 0.008684547], ['web site', 0.003662052], ['suit', 0.0018031218]]",RQZr2NgKPiU
29,"[['restaurant', 0.46777427], ['dining table', 0.16280282], ['patio', 0.08453839], ['television', 0.027782677], ['altar', 0.017847577]]",bPNi_492aEQ
30,"[['face powder', 0.7721815], ['panpipe', 0.06884417], ['lipstick', 0.041554805], ['Band Aid', 0.012733282], ['hair spray', 0.008130996]]",h_cfN1t3flE
31,"[['television', 0.15651456], ['monitor', 0.11395291], ['basketball', 0.10289523], ['toyshop', 0.04124282], ['comic book', 0.040876772]]",XzvHSMEBFjE
32,"[['wig', 0.25966558], ['television', 0.09999741], ['monitor', 0.069747284], ['web site', 0.04646089], ['academic gown', 0.03266571]]",fCuvR9LEczE
33,"[['scoreboard', 0.44865742], ['basketball', 0.08562716], ['television', 0.0747648], ['parallel bars', 0.030906016], ['racket', 0.026043016]]",aBza5P5v2-I
34,"[['amphibian', 0.61776257], ['passenger car', 0.053310815], ['cab', 0.030052466], ['racer', 0.027738934], ['school bus', 0.01946296]]",QDSEpjjavhY
35,"[['book jacket', 0.24503908], ['web site', 0.13262449], ['racer', 0.09193336], ['crane', 0.0507708], ['snowmobile', 0.039990664]]",M2xqMZ6b85w
36,"[['comic book', 0.12805454], ['breastplate', 0.122616164], ['cuirass', 0.105232425], ['shield', 0.04864908], ['ballplayer', 0.040381707]]",52Y7NwbmOHY
37,"[['sunglasses', 0.6510377], ['sunglass', 0.3083716], ['jersey', 0.0045890254], ['abaya', 0.004228133], ['web site', 0.0035025773]]",dVNZYskqdEc
38,"[['television', 0.3197548], ['scoreboard', 0.14071424], ['comic book', 0.121249445], ['monitor', 0.06394736], ['book jacket', 0.038395613]]",nQtcl7kCkzg
39,"[['web site', 0.1413289], ['stole', 0.061872907], ['Windsor tie', 0.05794741], ['cloak', 0.049841274], ['wig', 0.044685528]]",lCT0OaVqIQE
40,"[['oboe', 0.25776374], ['microphone', 0.07100949], ['accordion', 0.054404274], ['bassoon', 0.04873846], ['hand blower', 0.04263773]]",_k02Waw4WXk
41,"[['basketball', 0.19354312], ['television', 0.11710124], ['dumbbell', 0.09230842], ['scoreboard', 0.07046995], ['digital clock', 0.05273314]]",htWO0--MbQg
42,"[['ear', 0.3480792], ['hotdog', 0.15358375], ['corn', 0.12670796], ['burrito', 0.07485732], ['confectionery', 0.031016076]]",CP6aYDssDSE
43,"[['slot', 0.2443175], ['hotdog', 0.11393013], ['conch', 0.03993194], ['plate', 0.03640438], ['menu', 0.036088265]]",V8d6oQPQmX0
44,"[['beaker', 0.5995145], ['ping-pong ball', 0.06638381], ['hourglass', 0.051662777], ['espresso maker', 0.039990604], ['loupe', 0.013532866]]",Oyq8Di01nN8
45,"[['ski', 0.78736717], ['knee pad', 0.15572299], ['puck', 0.004063585], ['sock', 0.0019842454], ['ballplayer', 0.0011628352]]",CefAPPIkB8E
46,"[['microphone', 0.4927366], ['ice lolly', 0.12951688], ['bulletproof vest', 0.03691352], ['hotdog', 0.03199166], ['whistle', 0.027770527]]",V2fw7u1epLg
47,"[['notebook', 0.54125214], ['laptop', 0.230982], ['hand-held computer', 0.13550687], ['space bar', 0.026005361], ['screen', 0.0069698123]]",pi2Ri9-K3_E
48,"[['dumbbell', 0.9735565], ['barbell', 0.01064613], ['plunger', 0.0008972591], ['cellular telephone', 0.0006712249], ['shower cap', 0.0005062749]]",uwfIr6flLXk
